,Azamiuma,Hachi,Ga A,Ga B,Ga C
310,0,0,0.456808741,0.000218554,0.457027295
311,0,0,0.472755181,0.0002469,0.47300208
312,0,0,0.488993104,0.000278134,0.489271238
313,0,0,0.505506544,0.000312458,0.505819002
314,0,0,0.522277647,0.000350077,0.522627724
315,0,0,0.53928662,0.000391204,0.539677824
316,0,0,0.556511684,0.000436054,0.556947738
317,0,0,0.573929037,0.000484845,0.574413882
318,0,0,0.591512822,0.0005378,0.592050622
319,0,0,0.609235111,0.000595143,0.609830254
320,0,0,0.627065893,0.000657102,0.627722995
321,0,0,0.644973082,0.000723905,0.645696988
322,0,0,0.662922534,0.000795782,0.663718317
323,0,0,0.680878073,0.000872964,0.681751037
324,0,0,0.698801541,0.00095568,0.699757221
325,0,0,0.716652856,0.00104416,0.717697016
326,0,0,0.73439009,0.001138635,0.735528725
327,0,0,0.751969563,0.001239332,0.753208894
328,0,0,0.769345951,0.001346477,0.770692429
329,0,0,0.78647242,0.001460297,0.787932717
330,0,0,0.803300762,0.001581014,0.804881777
331,0,0,0.81978157,0.00170885,0.821490419
332,0,0,0.83586441,0.001844021,0.837708431
333,0,0,0.851498025,0.001986746,0.85348477
334,0,0,0.866630548,0.002137236,0.868767784
335,0,0,0.881209736,0.002295704,0.88350544
336,0,0,0.895183216,0.002462357,0.897645573
337,0,0,0.908498746,0.002637401,0.911136147
338,0,0,0.92110449,0.00282104,0.92392553
339,0,0,0.932949306,0.003013475,0.935962781
340,0,0,0.943983038,0.003214905,0.947197943
341,0,0,0.954156822,0.003425528,0.957582351
342,0,0,0.963423397,0.00364554,0.967068937
343,0,0,0.971737415,0.003875135,0.97561255
344,0,0,0.979055756,0.004114506,0.983170263
345,0.00E+00,1.73E-18,0.98533784,0.004363848,0.989701688
346,0,0.01848,0.990545935,0.004623353,0.995169289
347,0,0.03834,0.994645459,0.004893215,0.999538674
348,0,0.05896,0.997605266,0.005173628,1.002778894
349,0,0.07972,0.99939793,0.005464786,1.004862716
350,0.97,0.1,1,0.005766887,1.005766887
351,0.9944,0.11016,0.999392246,0.006080131,1.005472377
352,1.00336,0.11948,0.997559878,0.006404718,1.003964596
353,1.00072,0.12822,0.994492743,0.006740854,1.001233597
354,0.99032,0.13664,0.99018549,0.007088748,0.997274238
355,0.976,0.145,0.984637713,0.007448612,0.992086325
356,0.976528,0.15552,0.977854056,0.007820664,0.985674721
357,0.976984,0.16626,0.969844286,0.008205128,0.978049414
358,0.977376,0.17724,0.960623327,0.008602232,0.969225559
359,0.977712,0.18848,0.950211268,0.009012212,0.95922348
360,0.978,0.2,0.938633317,0.009435311,0.948068628
361,0.978048,0.21412,0.92591973,0.009871779,0.935791509
362,0.978064,0.22836,0.912105696,0.010321874,0.92242757
363,0.978056,0.24254,0.897231181,0.010785863,0.908017044
364,0.978032,0.25648,0.881340738,0.011264023,0.892604761
365,0.978,0.27,0.864483279,0.01175664,0.876239919
366,0.978,0.27824,0.846711814,0.01226401,0.858975824
367,0.978,0.28612,0.828083148,0.01278644,0.840869588
368,0.978,0.29388,0.808657559,0.01332425,0.821981809
369,0.978,0.30176,0.788498438,0.013877771,0.80237621
370,0.978,0.31,0.76767191,0.014447346,0.782119256
371,0.978,0.32328,0.746246428,0.015033331,0.761279759
372,0.978,0.33704,0.724292351,0.015636096,0.739928447
373,0.978,0.35116,0.701881511,0.016256026,0.718137537
374,0.978,0.36552,0.679086762,0.016893519,0.695980281
375,0.978,0.38,0.655981533,0.017548989,0.673530522
376,0.978,0.3932,0.632639367,0.018222866,0.650862234
377,0.978,0.4066,0.609133478,0.018915595,0.628049073
378,0.978,0.4204,0.585536298,0.019627639,0.605163936
379,0.978,0.4348,0.561919051,0.020359476,0.582278527
380,0.978,0.45,0.538351332,0.021111604,0.559462936
381,0.978,0.4744,0.51490071,0.021884538,0.536785248
382,0.978,0.4992,0.491632352,0.022678812,0.514311164
383,0.978,0.5238,0.468608675,0.023494979,0.492103654
384,0.978,0.5476,0.445889025,0.02433361,0.470222635
385,0.978,0.57,0.423529391,0.0251953,0.44872469
386,0.978,0.57656,0.40158215,0.026080659,0.42766281
387,0.978,0.58148,0.380095852,0.026990324,0.407086175
388,0.978,0.58512,0.359115034,0.027924948,0.387039982
389,0.978,0.58784,0.338680086,0.02888521,0.367565296
390,0.978,0.59,0.318827139,0.02987181,0.348698949
391,0.978,0.59272,0.299588005,0.03088547,0.330473475
392,0.978,0.59516,0.280990147,0.031926937,0.312917084
393,0.978,0.59724,0.26305669,0.032996981,0.29605367
394,0.978,0.59888,0.245806461,0.034096395,0.279902856
395,0.978,0.6,0.229254075,0.035226,0.264480075
396,0.977984,0.59656,0.213410037,0.036386639,0.249796676
397,0.977972,0.59268,0.198280885,0.037579182,0.235860068
398,0.977968,0.58852,0.183869357,0.038804526,0.222673883
399,0.977976,0.58424,0.170174575,0.040063591,0.210238166
400,0.978,0.58,0.157192258,0.041357329,0.198549587
401,0.978176,0.57872,0.144914948,0.042686714,0.187601662
402,0.978368,0.57736,0.133332251,0.044052753,0.177385003
403,0.978572,0.57564,0.122431087,0.045456476,0.167887563
404,0.978784,0.57328,0.112195954,0.046898945,0.159094899
405,0.979,0.57,0.102609187,0.048381249,0.150990436
406,0.9792,0.5576,0.093651225,0.049904507,0.143555732
407,0.9794,0.5442,0.085300876,0.051469868,0.136770744
408,0.9796,0.53,0.077535577,0.05307851,0.130614087
409,0.9798,0.5152,0.070331649,0.05473164,0.12506329
410,0.98,0.5,0.063664539,0.056430498,0.120095037
411,0.9802,0.48392,0.057509055,0.058176352,0.115685407
412,0.9804,0.46776,0.05183959,0.059970503,0.111810093
413,0.9806,0.45164,0.04663033,0.06181428,0.108444611
414,0.9808,0.43568,0.041855446,0.063709047,0.105564493
415,0.981,0.42,0.03748927,0.065656196,0.103145466
416,0.9812,0.40704,0.033506461,0.067657152,0.101163613
417,0.9814,0.39452,0.029882145,0.069713369,0.099595515
418,0.9816,0.38248,0.026592045,0.071826337,0.098418382
419,0.9818,0.37096,0.023612589,0.073997572,0.09761016
420,0.982,0.36,0.020921006,0.076228624,0.09714963
421,0.9822,0.35344,0.018495406,0.078521074,0.09701648
422,0.9824,0.34732,0.016314839,0.080876532,0.097191371
423,0.9826,0.34148,0.014359345,0.08329664,0.097655985
424,0.9828,0.33576,0.012609991,0.08578307,0.098393061
425,0.983,0.33,0.01104889,0.088337523,0.099386413
426,0.9832,0.32176,0.009659211,0.090961729,0.10062094
427,0.9834,0.31348,0.008425182,0.093657448,0.102082629
428,0.9836,0.30532,0.007332077,0.096426465,0.103758543
429,0.9838,0.29744,0.006366204,0.099270597,0.105636801
430,0.984,0.29,0.005514871,0.102191683,0.107706553
431,0.984136,0.28728,0.004766363,0.105191588,0.109957951
432,0.984288,0.28504,0.004109903,0.108272204,0.112382107
433,0.984472,0.28316,0.00353561,0.111435444,0.114971054
434,0.984704,0.28152,0.003034459,0.114683244,0.117717703
435,0.985,0.28,0.002598234,0.11801756,0.120615794
436,0.98592,0.27768,0.002219478,0.121440367,0.123659846
437,0.9869,0.27544,0.001891452,0.124953659,0.126845111
438,0.98792,0.27336,0.001608078,0.128559445,0.130167523
439,0.98896,0.27152,0.0013639,0.132259746,0.133623647
440,0.99,0.27,0.001154032,0.136056599,0.13721063
441,0.990872,0.27168,0.000974111,0.139952046,0.140926157
442,0.991716,0.27364,0.000820258,0.143948141,0.1447684
443,0.992524,0.27576,0.000689034,0.148046941,0.148735975
444,0.993288,0.27792,0.000577397,0.152250503,0.152827901
445,0.994,0.28,0.000482668,0.156560888,0.157043557
446,0.994272,0.28008,0.000402494,0.16098015,0.161382644
447,0.994496,0.28004,0.000334813,0.165510338,0.165845151
448,0.994684,0.27996,0.000277827,0.170153491,0.170431318
449,0.994848,0.27992,0.00022997,0.174911634,0.175141604
450,0.995,0.28,0.000189885,0.179786775,0.17997666
451,0.995168,0.28176,0.000156397,0.1847809,0.184937297
452,0.995344,0.28368,0.000128493,0.189895973,0.190024466
453,0.995536,0.28572,0.000105303,0.195133925,0.195239228
454,0.995752,0.28784,8.60818E-05,0.200496655,0.200582737
455,0.996,0.29,7.01916E-05,0.205986022,0.206056214
456,0.996584,0.29152,5.709E-05,0.211603843,0.211660933
457,0.997192,0.29316,4.63161E-05,0.217351885,0.217398201
458,0.997808,0.29504,3.74798E-05,0.223231861,0.223269341
459,0.998416,0.29728,3.0252E-05,0.229245426,0.229275678
460,0.999,0.3,2.43556E-05,0.235394168,0.235418524
461,0.999584,0.30728,1.95581E-05,0.241679605,0.241699163
462,1.000052,0.31504,1.56652E-05,0.248103176,0.248118841
463,1.000328,0.32316,1.25147E-05,0.254666238,0.254678753
464,1.000336,0.33152,9.97202E-06,0.261370056,0.261380028
465,1,0.34,7.92531E-06,0.2682158,0.268223726
466,0.996344,0.34352,6.28229E-06,0.275204534,0.275210817
467,0.992392,0.34816,4.96689E-06,0.282337212,0.282342179
468,0.988268,0.35504,3.91664E-06,0.289614669,0.289618586
469,0.984096,0.36528,3.08037E-06,0.297037614,0.297040695
470,0.98,0.38,2.41629E-06,0.304606623,0.304609039
471,0.97776,0.4392,1.89037E-06,0.31232213,0.312324021
472,0.97568,0.5024,1.47502E-06,0.320184421,0.320185896
473,0.97372,0.568,1.14788E-06,0.328193622,0.32819477
474,0.97184,0.6344,8.90921E-07,0.336349697,0.336350588
475,0.97,0.7,6.89644E-07,0.344652434,0.344653123
476,0.968,0.74448,5.32415E-07,0.353101438,0.35310197
477,0.966,0.78664,4.09933E-07,0.361696126,0.361696536
478,0.964,0.82656,3.14782E-07,0.370435715,0.37043603
479,0.962,0.86432,2.41067E-07,0.379319215,0.379319456
480,0.96,0.9,1.84118E-07,0.388345418,0.388345602
481,0.958,0.92432,1.40243E-07,0.397512895,0.397513035
482,0.956,0.94656,1.06534E-07,0.406819982,0.406820088
483,0.954,0.96664,8.07082E-08,0.416264774,0.416264855
484,0.952,0.98448,6.0977E-08,0.425845119,0.42584518
485,0.95,1,4.59442E-08,0.435558605,0.435558651
486,0.948,0.99888,3.45231E-08,0.445402555,0.44540259
487,0.946,0.99584,2.58703E-08,0.455374021,0.455374047
488,0.944,0.99136,1.93331E-08,0.465469773,0.465469792
489,0.942,0.98592,1.44081E-08,0.475686293,0.475686308
490,0.94,0.98,1.07083E-08,0.486019769,0.48601978
491,0.938,0.97632,7.93658E-09,0.496466087,0.496466095
492,0.936,0.97256,5.86608E-09,0.507020826,0.507020832
493,0.934,0.96864,4.32374E-09,0.517679251,0.517679255
494,0.932,0.96448,3.1781E-09,0.528436308,0.528436311
495,0.93,0.96,2.32953E-09,0.53928662,0.539286622
496,0.928,0.95312,1.70279E-09,0.550224481,0.550224482
497,0.926,0.94576,1.24121E-09,0.561243852,0.561243853
498,0.924,0.93784,9.02221E-10,0.572338361,0.572338362
499,0.922,0.92928,6.53984E-10,0.583501296,0.583501297
500,0.92,0.92,4.72721E-10,0.594725606,0.594725607
501,0.918,0.90576,3.4074E-10,0.6060039,0.6060039
502,0.916,0.89068,2.44918E-10,0.617328442,0.617328443
503,0.914,0.87472,1.75548E-10,0.62869116,0.62869116
504,0.912,0.85784,1.25472E-10,0.640083638,0.640083638
505,0.91,0.84,8.94272E-11,0.651497125,0.651497125
506,0.908,0.81488,6.35572E-11,0.662922534,0.662922534
507,0.906,0.78904,4.50432E-11,0.674350448,0.674350448
508,0.904,0.76276,3.18318E-11,0.685771124,0.685771124
509,0.902,0.73632,2.24316E-11,0.697174501,0.697174501
510,0.9,0.71,1.57624E-11,0.708550202,0.708550202
511,0.898,0.6872,1.10445E-11,0.71988755,0.71988755
512,0.896,0.6648,7.71674E-12,0.73117557,0.73117557
513,0.894,0.6428,5.37625E-12,0.742403004,0.742403004
514,0.892,0.6212,3.73492E-12,0.75355832,0.75355832
515,0.89,0.6,2.58726E-12,0.764629725,0.764629725
516,0.88784,0.58184,1.78712E-12,0.775605182,0.775605182
517,0.88572,0.56392,1.23089E-12,0.78647242,0.78647242
518,0.88368,0.54608,8.45345E-13,0.797218953,0.797218953
519,0.88176,0.52816,5.78894E-13,0.807832099,0.807832099
520,0.88,0.51,3.95287E-13,0.818298995,0.818298995
521,0.87976,0.48832,2.69136E-13,0.82860662,0.82860662
522,0.87968,0.46636,1.82716E-13,0.838741812,0.838741812
523,0.87972,0.44424,1.23687E-13,0.848691294,0.848691294
524,0.87984,0.42208,8.34864E-14,0.858441697,0.858441697
525,0.88,0.4,5.61884E-14,0.86797958,0.86797958
526,0.88,0.3796,3.77065E-14,0.877291461,0.877291461
527,0.88,0.3594,2.52304E-14,0.886363837,0.886363837
528,0.88,0.3394,1.68333E-14,0.895183216,0.895183216
529,0.88,0.3196,1.11982E-14,0.903736145,0.903736145
530,0.88,0.3,7.42783E-15,0.912009235,0.912009235
531,0.88,0.28128,4.91256E-15,0.919989195,0.919989195
532,0.88,0.26284,3.23956E-15,0.927662858,0.927662858
533,0.88,0.24476,2.13007E-15,0.935017218,0.935017218
534,0.88,0.22712,1.39646E-15,0.942039455,0.942039455
535,0.88,0.21,9.12839E-16,0.948716972,0.948716972
536,0.88,0.19872,5.94956E-16,0.955037422,0.955037422
537,0.88,0.18756,3.86635E-16,0.960988748,0.960988748
538,0.88,0.17604,2.50519E-16,0.966559209,0.966559209
539,0.88,0.16368,1.61847E-16,0.971737415,0.971737415
540,0.88,0.15,1.04253E-16,0.976512363,0.976512363
541,0.88,0.11976,6.69571E-17,0.980873463,0.980873463
542,0.88,0.08868,4.28769E-17,0.984810576,0.984810576
543,0.88,0.05772,2.73759E-17,0.988314044,0.988314044
544,0.88,0.02784,1.74274E-17,0.991374719,0.991374719
545,0.88,0,1.10614E-17,0.993983999,0.993983999
546,0.88,0,7.00015E-18,0.996133851,0.996133851
547,0.88,0,4.41691E-18,0.997816846,0.997816846
548,0.88,0,2.77871E-18,0.999026185,0.999026185
549,0.88,0,1.74293E-18,0.999755724,0.999755724
550,0.88,0,1.09001E-18,1,1
551,0.88,0,6.79662E-19,0.999754258,0.999754258
552,0.88,0,4.22537E-19,0.999014472,0.999014472
553,0.88,0,2.61906E-19,0.997777362,0.997777362
554,0.88,0,1.61859E-19,0.996040421,0.996040421
555,0.88,0,9.9732E-20,0.993801924,0.993801924
556,0.88,0,6.12689E-20,0.991060952,0.991060952
557,0.88,0,3.75277E-20,0.987817396,0.987817396
558,0.88,0,2.29176E-20,0.984071977,0.984071977
559,0.88,0,1.39538E-20,0.979826247,0.979826247
560,0.88,0,8.47068E-21,0.975082603,0.975082603
561,0.88,0,5.12682E-21,0.969844286,0.969844286
562,0.88,0,3.09372E-21,0.964115383,0.964115383
563,0.88,0,1.8613E-21,0.957900832,0.957900832
564,0.88,0,1.11648E-21,0.951206411,0.951206411
565,0.88,0,6.67713E-22,0.944038737,0.944038737
566,0.88,0,3.98133E-22,0.936405258,0.936405258
567,0.88,0,2.36682E-22,0.928314238,0.928314238
568,0.88,0,1.40282E-22,0.919774749,0.919774749
569,0.88,0,8.28965E-23,0.910796652,0.910796652
570,0.88,0,4.88392E-23,0.901390575,0.901390575
571,0.88,0,2.86879E-23,0.891567902,0.891567902
572,0.88,0,1.68006E-23,0.881340738,0.881340738
573,0.88,0,9.80954E-24,0.87072189,0.87072189
574,0.88,0,5.71042E-24,0.859724838,0.859724838
575,0.88,0,3.31423E-24,0.848363703,0.848363703
576,0.88,0,1.91775E-24,0.836653215,0.836653215
577,0.88,0,1.10636E-24,0.82460868,0.82460868
578,0.88,0,6.36346E-25,0.812245941,0.812245941
579,0.88,0,3.64909E-25,0.799581341,0.799581341
580,0.88,0,2.08627E-25,0.786631683,0.786631683
581,0.88,0,1.18918E-25,0.773414191,0.773414191
582,0.88,0,6.75799E-26,0.759946463,0.759946463
583,0.88,0,3.82895E-26,0.746246428,0.746246428
584,0.88,0,2.16289E-26,0.732332305,0.732332305
585,0.88,0,1.21809E-26,0.718222552,0.718222552
586,0.88008,0,6.83936E-27,0.703935824,0.703935824
587,0.88014,0,3.82862E-27,0.689490922,0.689490922
588,0.88016,0,2.13678E-27,0.674906749,0.674906749
589,0.88012,0,1.18896E-27,0.66020226,0.66020226
590,0.88,0,6.59579E-28,0.645396417,0.645396417
591,0.87912,0,3.648E-28,0.630508139,0.630508139
592,0.87816,0,2.01155E-28,0.615556258,0.615556258
593,0.87714,0,1.10586E-28,0.600559471,0.600559471
594,0.87608,0,6.06114E-29,0.585536298,0.585536298
595,0.875,0,3.31206E-29,0.570505031,0.570505031
596,0.874,0,1.8044E-29,0.555483696,0.555483696
597,0.873,0,9.80062E-30,0.540490012,0.540490012
598,0.872,0,5.30718E-30,0.525541346,0.525541346
599,0.871,0,2.86525E-30,0.510654675,0.510654675
600,0.87,0,1.54223E-30,0.495846553,0.495846553
601,0.869,0,8.27605E-31,0.48113307,0.48113307
602,0.868,0,4.42777E-31,0.466529823,0.466529823
603,0.867,0,2.36176E-31,0.452051881,0.452051881
604,0.866,0,1.25595E-31,0.437713759,0.437713759
605,0.865,0,6.65884E-32,0.423529391,0.423529391
606,0.864,0,3.51975E-32,0.409512102,0.409512102
607,0.863,0,1.85486E-32,0.395674589,0.395674589
608,0.862,0,9.74541E-33,0.382028904,0.382028904
609,0.861,0,5.10476E-33,0.36858643,0.36858643
610,0.86,0,2.66587E-33,0.355357872,0.355357872
611,0.859,0,1.388E-33,0.342353243,0.342353243
612,0.858,0,7.20488E-34,0.329581857,0.329581857
613,0.857,0,3.72865E-34,0.317052319,0.317052319
614,0.856,0,1.92382E-34,0.30477252,0.30477252
615,0.855,0,9.89612E-35,0.292749641,0.292749641
616,0.854,0,5.0752E-35,0.280990147,0.280990147
617,0.853,0,2.59495E-35,0.269499794,0.269499794
618,0.852,0,1.32279E-35,0.258283633,0.258283633
619,0.851,0,6.72268E-36,0.247346017,0.247346017
620,0.85,0,3.40629E-36,0.236690613,0.236690613
621,0.849,0,1.72071E-36,0.22632041,0.22632041
622,0.848,0,8.66611E-37,0.216237737,0.216237737
623,0.847,0,4.35139E-37,0.206444277,0.206444277
624,0.846,0,2.17831E-37,0.19694108,0.19694108
625,0.845,0,1.08718E-37,0.187728591,0.187728591
626,0.844,0,5.40965E-38,0.178806661,0.178806661
627,0.843,0,2.68366E-38,0.170174575,0.170174575
628,0.842,0,1.32732E-38,0.161831072,0.161831072
629,0.841,0,6.54502E-39,0.153774369,0.153774369
630,0.84,0,3.21763E-39,0.146002188,0.146002188
631,0.839,0,1.57707E-39,0.13851178,0.13851178
632,0.838,0,7.70651E-40,0.131299952,0.131299952
633,0.837,0,3.75451E-40,0.124363093,0.124363093
634,0.836,0,1.82364E-40,0.117697203,0.117697203
635,0.835,0,8.83111E-41,0.111297919,0.111297919
636,0.834,0,4.26366E-41,0.105160544,0.105160544
637,0.833,0,2.0523E-41,0.099280074,0.099280074
638,0.832,0,9.84896E-42,0.093651225,0.093651225
639,0.831,0,4.71229E-42,0.088268461,0.088268461
640,0.83,0,2.24784E-42,0.083126024,0.083126024
641,0.828936,0,1.06903E-42,0.078217954,0.078217954
642,0.827888,0,5.06884E-43,0.073538121,0.073538121
643,0.826872,0,2.39618E-43,0.06908025,0.06908025
644,0.825904,0,1.12934E-43,0.064837941,0.064837941
645,0.825,0,5.30665E-44,0.060804699,0.060804699
646,0.82472,0,2.48606E-44,0.056973952,0.056973952
647,0.8245,0,1.16117E-44,0.05333908,0.05333908
648,0.82432,0,5.40727E-45,0.049893427,0.049893427
649,0.82416,0,2.51046E-45,0.04663033,0.04663033
650,0.824,0,1.16205E-45,0.043543134,0.043543134
651,0.823624,0,5.36277E-46,0.040625211,0.040625211
652,0.823232,0,2.46746E-46,0.037869975,0.037869975
653,0.822828,0,1.1319E-46,0.035270905,0.035270905
654,0.822416,0,5.17684E-47,0.03282155,0.03282155
655,0.822,0,2.36057E-47,0.03051555,0.03051555
656,0.822368,0,1.07317E-47,0.028346648,0.028346648
657,0.822544,0,4.86425E-48,0.026308697,0.026308697
658,0.822336,0,2.19818E-48,0.024395675,0.024395675
659,0.821552,0,9.90396E-49,0.022601695,0.022601695
660,0.82,0,4.44891E-49,0.020921006,0.020921006
661,0.810672,0,1.9925E-49,0.019348011,0.019348011
662,0.800696,0,8.89703E-50,0.017877263,0.017877263
663,0.790384,0,3.96088E-50,0.016503479,0.016503479
664,0.780048,0,1.75808E-50,0.015221538,0.015221538
665,0.77,0,7.78016E-51,0.014026486,0.014026486
666,0.76512,0,3.43274E-51,0.012913544,0.012913544
667,0.76076,0,1.51006E-51,0.011878099,0.011878099
668,0.75684,0,6.62297E-52,0.010915716,0.010915716
669,0.75328,0,2.89611E-52,0.010022133,0.010022133
670,0.75,0,1.26264E-52,0.009193261,0.009193261
671,0.74816,0,5.48847E-53,0.008425182,0.008425182
672,0.74638,0,2.37863E-53,0.007714151,0.007714151
673,0.74452,0,1.0278E-53,0.007056591,0.007056591
674,0.74244,0,4.42791E-54,0.006449094,0.006449094
675,0.74,0,1.90193E-54,0.005888411,0.005888411
676,0.73376,0,8.14512E-55,0.005371458,0.005371458
677,0.72708,0,3.47783E-55,0.004895305,0.004895305
678,0.72002,0,1.48057E-55,0.004457175,0.004457175
679,0.71264,0,6.28432E-56,0.004054441,0.004054441
680,0.705,0,2.65949E-56,0.003684617,0.003684617
681,0.69568,0,1.12214E-56,0.00334536,0.00334536
682,0.68634,0,4.72072E-57,0.003034459,0.003034459
683,0.67716,0,1.98007E-57,0.002749835,0.002749835
684,0.66832,0,8.28067E-58,0.002489533,0.002489533
685,0.66,0,3.45273E-58,0.002251718,0.002251718
686,0.65716,0,1.4354E-58,0.002034669,0.002034669
687,0.65488,0,5.94976E-59,0.001836776,0.001836776
688,0.65302,0,2.45889E-59,0.001656533,0.001656533
689,0.65144,0,1.0132E-59,0.001492536,0.001492536
690,0.65,0,4.16262E-60,0.001343473,0.001343473
691,0.64816,0,1.70512E-60,0.001208124,0.001208124
692,0.64628,0,6.96402E-61,0.001085355,0.001085355
693,0.64432,0,2.83585E-61,0.000974111,0.000974111
694,0.64224,0,1.1514E-61,0.000873415,0.000873415
695,0.64,0,4.66109E-62,0.000782361,0.000782361
696,0.63624,0,1.88135E-62,0.000700111,0.000700111
697,0.63232,0,7.57131E-63,0.000625892,0.000625892
698,0.62828,0,3.03805E-63,0.000558989,0.000558989
699,0.62416,0,1.21546E-63,0.000498744,0.000498744
700,0.62,0,4.84851E-64,0.000444552,0.000444552
701,0.616,0,0,0,0
702,0.612,0,0,0,0
703,0.608,0,0,0,0
704,0.604,0,0,0,0
705,0.6,0,0,0,0
706,0.596,0,0,0,0
707,0.592,0,0,0,0
708,0.588,0,0,0,0
709,0.584,0,0,0,0
710,0.58,0,0,0,0
711,0.576,0,0,0,0
712,0.572,0,0,0,0
713,0.568,0,0,0,0
714,0.564,0,0,0,0
715,0.56,0,0,0,0
716,0.556,0,0,0,0
717,0.552,0,0,0,0
718,0.548,0,0,0,0
719,0.544,0,0,0,0
720,0.54,0,0,0,0
721,0.536,0,0,0,0
722,0.532,0,0,0,0
723,0.528,0,0,0,0
724,0.524,0,0,0,0
725,0.52,0,0,0,0
726,0.516,0,0,0,0
727,0.512,0,0,0,0
728,0.508,0,0,0,0
729,0.504,0,0,0,0
730,0.5,0,0,0,0
731,0.496,0,0,0,0
732,0.492,0,0,0,0
733,0.488,0,0,0,0
734,0.484,0,0,0,0
735,0.48,0,0,0,0
736,0.48304,0,0,0,0
737,0.48432,0,0,0,0
738,0.48208,0,0,0,0
739,0.47456,0,0,0,0
740,0.46,0,0,0,0
741,0.3712,0,0,0,0
742,0.2772,0,0,0,0
743,0.1816,0,0,0,0
744,0.088,0,0,0,0
745,6.94E-18,0,0,0,0
746,0,0,0,0,0
747,0,0,0,0,0
748,0,0,0,0,0
749,0,0,0,0,0
750,0,0,0,0,0
751,0,0,0,0,0
752,0,0,0,0,0
753,0,0,0,0,0
754,0,0,0,0,0
755,0,0,0,0,0
756,0,0,0,0,0
757,0,0,0,0,0
758,0,0,0,0,0
759,0,0,0,0,0
760,0,0,0,0,0
761,0,0,0,0,0
762,0,0,0,0,0
763,0,0,0,0,0
764,0,0,0,0,0
765,0,0,0,0,0
766,0,0,0,0,0
767,0,0,0,0,0
768,0,0,0,0,0
769,0,0,0,0,0
770,0,0,0,0,0
771,0,0,0,0,0
772,0,0,0,0,0
773,0,0,0,0,0
774,0,0,0,0,0
775,0,0,0,0,0
776,0,0,0,0,0
777,0,0,0,0,0
778,0,0,0,0,0
779,0,0,0,0,0
780,0,0,0,0,0
781,0,0,0,0,0
782,0,0,0,0,0
783,0,0,0,0,0
784,0,0,0,0,0
785,0,0,0,0,0
786,0,0,0,0,0
787,0,0,0,0,0
788,0,0,0,0,0
789,0,0,0,0,0
790,0,0,0,0,0
791,0,0,0,0,0
792,0,0,0,0,0
793,0,0,0,0,0
794,0,0,0,0,0
795,0,0,0,0,0
796,0,0,0,0,0
797,0,0,0,0,0
798,0,0,0,0,0
799,0,0,0,0,0
800,0,0,0,0,0